defined_meaning_id	GROUP_CONCAT(uw_expression.spelling SEPARATOR ',')
1132	earth metal,triel
1133	tetrel
1134	pnictogen,pentel
1135	chalcogen
1136	halogen
1137	chemical element,element
1138	emancipation
1139	embryo
1140	embryogenesis
1143	emergency relief
1145	emergency shelter
1146	emission
1149	emission factor
1150	emission forecast
1154	emission situation
1156	emission standard
1158	employment
1161	emulsification
1162	emulsion
1169	endocrine system
1170	endocrinology
1172	energy
1173	energy balance
1174	energy conservation
1175	energy consumption
1176	energy conversion
1177	energy demand
1180	energy economics
1183	energy management
1184	energy market
1185	energy policy
1187	energy production
1188	energy recovery
1189	energy resource
1190	energy saving
1191	energy source
1195	energy technology
1199	enforcement
1203	enriched uranium
1204	enrichment
1214	environmental auditing
1215	environmental awareness
1219	environmental chemistry
1225	environmental cost
1226	environmental crime
1227	environmental criminal law
1230	environmental damage
1234	environmental economics
1235	environmental education
1237	environmental ethics
1244	environmental history
1245	environmental impact
1260	environmental indicator
1263	environmental informatics
1267	environmental investment
1271	environmental legislation
1272	environmental legislation on agriculture
1274	environmental liability
1282	environmentally unfriendly firm
1284	environmental medicine
1292	environmental policy
1294	environmental pollution
1297	environmental protection
1300	environmental protection cost
1306	environmental psychology
1307	environmental quality
1311	environmental report
1312	environmental research
1313	environmental risk assessment
1315	environmental science
1316	environmental security
1317	environmental specimen bank
1321	environmental subsidy
1325	environmental terminology
1328	environmental vandalism
1329	environmental warfare
1331	environs,entourage,ambiance,environment,locality
1332	enzyme
1333	epidemic
1334	epidemiology
1335	equine
1336	equipment
1337	equivalent dose
1338	ergonomics
1339	erosion
1340	erosion control
1341	estuarine biology
1344	estuarine oceanography
1345	estuary
1347	etching substance
1348	ether
1349	ethics
1350	ethnology
1351	ethology
1352	EU Council
1353	Euratom
1354	Europe
1355	European Commission
1356	European Court of Justice
1357	European Environment Agency
1358	European Environmental Council
1360	European Parliament
1361	EU,European Union
1362	eutrophication
1363	evaluation
1367	evaporation,vaporization
1368	fly-off,evapotranspiration
1369	evolution
1370	exact science
1371	excavated hole
1372	digging,excavation,earthworks
1376	executive order
1377	exhaust device
1378	exhaust gas
1379	existing chemical substance
1380	exotic species
1381	expenditure
1382	experiment
1383	expert system
1385	explosion
1386	explosive
1387	export
1390	exposure
1391	expropriation
1392	extensive cattle farming
1393	externality
1394	extinction
1395	extinct species
1396	extraction
1397	extractive industry
1398	fabric
1399	factor market
1402	fallout
1403	fallow area
1404	fallow land
1405	family
1406	family planning
1407	famine
1408	farm animal
1410	farm
1412	fauna
1414	federal government
1415	federal law
1416	fee
1418	fen
1419	zymosis,fermentation
1420	fern
1425	field,acre
1426	field damage
1427	field experiment
1428	field study
